Rooms,Area,Price,City
4.5,148.0,4180.0,Zürich
1.5,35.0,1620.0,Zürich
4.5,110.0,4500.0,Dübendorf
2.5,50.0,1650.0,Pfaffhausen
2.5,80.0,2150.0,Weisslingen
1.5,30.0,3790.0,Zürich
1.5,25.0,3490.0,Zürich
1.5,25.0,3490.0,Zürich
2.5,75.0,6590.0,Zürich
5.5,190.0,4375.0,Hinteregg
2.0,58.0,2195.0,Zürich
2.5,47.0,2880.0,Zürich
4.5,220.0,5100.0,Wädenswil
3.5,93.0,2050.0,Dägerlen
3.0,67.0,2600.0,Zürich
4.5,112.0,3120.0,Winterthur
1.0,16.0,1020.0,Zürich
1.0,25.0,1990.0,Zürich
1.5,32.0,2900.0,Zürich
3.5,135.0,3390.0,Kloten
1.0,13.0,600.0,Winterthur
1.0,23.0,1160.0,Zürich
3.5,90.0,3350.0,Zürich
3.0,117.0,2830.0,Männedorf
3.0,65.0,1676.0,Bülach
3.5,130.0,5520.0,Zürich
4.5,123.0,5630.0,Zürich
2.0,52.0,2820.0,Zürich
3.5,69.0,5030.0,Zürich
3.5,76.0,3350.0,Zürich
4.5,156.0,6420.0,Zürich
4.5,127.0,2090.0,Langwiesen
4.0,78.0,2100.0,Dübendorf
4.0,103.0,4991.0,Zürich
4.5,92.0,1690.0,Langwiesen
4.5,110.0,2300.0,Andelfingen
2.5,78.0,2740.0,Zürich
3.5,75.0,3659.0,Zürich
3.5,78.0,4750.0,Zürich
3.5,65.0,1813.0,Hinwil
3.5,95.0,2170.0,Oberengstringen
4.0,123.0,4995.0,Zürich
4.5,102.0,3999.0,Dübendorf
1.5,30.0,1813.0,Zürich
2.5,75.0,7090.0,Zürich
4.5,180.0,5590.0,Meilen
2.5,69.0,2730.0,Dielsdorf
3.5,91.0,3870.0,Zürich
2.5,71.0,1790.0,Weisslingen
3.5,100.0,9150.0,Zürich
2.5,70.0,5900.0,Zürich
1.0,14.0,960.0,Zürich
1.0,12.0,1020.0,Zürich
2.5,100.0,3990.0,Zürich
3.5,105.0,4500.0,Wädenswil
2.5,54.0,3480.0,Zürich
2.5,70.0,2560.0,Zürich
5.0,125.0,5900.0,Zürich
2.5,73.0,1840.0,Turbenthal
3.5,79.0,2070.0,Winkel
2.0,52.0,2800.0,Zürich
2.5,72.0,2950.0,Dübendorf
3.5,86.0,2200.0,Wallisellen
1.0,19.0,1200.0,Uster
4.5,96.0,2390.0,Dietlikon
1.0,38.0,830.0,Rheinau
3.5,95.0,2680.0,Bülach
5.5,149.0,3150.0,Hombrechtikon
4.5,90.0,4950.0,Zürich
2.0,41.0,3930.0,Zürich
1.0,18.0,1088.0,Winterthur
3.0,93.0,3200.0,Zürich
3.5,140.0,5400.0,Zollikon
2.5,87.0,5350.0,Zürich
4.0,87.0,3900.0,Zollikon
3.0,70.0,1800.0,Stäfa
4.0,123.0,4600.0,Zürich
1.0,18.0,950.0,Zürich
3.5,100.0,3360.0,Zürich
4.0,90.0,4680.0,Zollikon
1.5,80.0,1950.0,Illnau
1.0,18.0,1150.0,Herrliberg
2.5,70.0,5900.0,Zürich
2.5,75.0,6900.0,Zürich
4.5,114.0,2700.0,Winterthur
3.5,130.0,6490.0,Thalwil
2.5,60.0,1950.0,Embrach
4.5,143.0,3780.0,Uster
3.5,84.0,2544.0,Watt
1.0,42.0,1350.0,Richterswil
3.5,90.0,2988.0,Zürich
3.5,72.0,1950.0,Stäfa
4.5,115.0,2920.0,Embrach
2.0,62.0,3200.0,Zürich
2.5,53.0,3200.0,Zürich
1.5,23.0,1900.0,Zürich
1.5,23.0,1900.0,Zürich
2.0,57.0,4822.0,Zürich
7.5,198.0,7740.0,Zürich
4.5,120.0,2030.0,Turbenthal
2.5,63.0,2400.0,Kloten
3.5,117.0,1946.0,Hedingen
2.0,50.0,1450.0,Obfelden
4.5,108.0,3550.0,Hirzel
3.5,96.0,3190.0,Schlieren
2.5,60.0,2440.0,Schlieren
3.5,76.0,3240.0,Schlieren
3.5,75.0,3130.0,Schlieren
3.5,74.0,3130.0,Schlieren
3.5,85.0,3180.0,Schlieren
3.5,75.0,3080.0,Schlieren
3.5,76.0,3130.0,Schlieren
4.5,111.0,2600.0,Zumikon
1.0,16.0,950.0,Knonau
3.5,80.0,2610.0,Maur
3.5,95.0,4960.0,Zürich
3.5,85.0,4650.0,Zürich
3.5,70.0,2235.0,Glattbrugg
4.5,87.0,1900.0,Wädenswil
4.5,133.0,3703.0,Dübendorf
3.5,141.0,12240.0,Zürich
3.5,94.0,2544.0,Dietlikon
4.5,98.0,2280.0,Zürich
3.0,80.0,1590.0,Kloten
3.5,70.0,3580.0,Zürich
1.5,30.0,2690.0,Zürich
2.5,49.0,3410.0,Zürich
2.5,30.0,3030.0,Zürich
2.5,75.0,6190.0,Zürich
4.5,140.0,9950.0,Zürich
4.5,140.0,9170.0,Zürich
4.5,115.0,8490.0,Zürich
4.5,125.0,5180.0,Zürich
4.5,109.0,3567.0,Dübendorf
2.5,75.0,2290.0,Zürich
2.5,53.0,2550.0,Schlieren
3.5,75.0,3130.0,Schlieren
3.5,74.0,3120.0,Schlieren
3.5,75.0,3130.0,Schlieren
3.5,75.0,3130.0,Schlieren
2.5,64.0,2326.0,Schlieren
3.5,75.0,3080.0,Schlieren
3.5,75.0,3290.0,Schlieren
3.5,74.0,3120.0,Schlieren
1.5,85.0,2700.0,Zürich
5.5,185.0,8150.0,Zürich
2.5,65.0,5900.0,Zürich
4.5,111.0,2700.0,Niederweningen
3.5,78.0,3750.0,Zürich
2.5,75.0,3580.0,Zürich
3.5,98.0,3960.0,Zürich
2.5,75.0,1790.0,Oberengstringen
2.5,70.0,5750.0,Zürich
2.5,80.0,3240.0,Zürich
2.5,73.0,2375.0,Zürich
2.5,75.0,1804.0,Regensdorf
3.5,135.0,7000.0,Zürich
2.5,54.0,2290.0,Zürich
1.5,56.0,2130.0,Zürich
5.5,122.0,4950.0,Zürich
4.5,97.0,4100.0,Zürich
3.5,79.0,3260.0,Dietikon
4.5,110.0,3050.0,Regensdorf
3.5,92.0,2700.0,Regensdorf
2.5,75.0,2180.0,Regensdorf
5.5,161.0,2650.0,Dachsen
2.5,74.0,4250.0,Zollikon
4.5,95.0,2256.0,Fehraltorf
2.0,122.0,3190.0,Zürich
4.5,104.0,4200.0,Dübendorf
3.5,88.0,3960.0,Stäfa
3.5,70.0,3680.0,Zürich
1.5,30.0,1740.0,Zürich
2.5,53.0,2640.0,Zürich
2.0,48.0,1290.0,Winterthur
4.5,100.0,3700.0,Zürich
4.5,100.0,3600.0,Zürich
4.5,108.0,3950.0,Stäfa
3.0,76.0,4000.0,Zürich
3.5,97.0,4375.0,Zürich
4.5,170.0,7400.0,Zürich
2.5,76.0,2640.0,Zürich
3.5,89.0,3080.0,Zürich
3.5,90.0,2270.0,Niederweningen
4.5,106.0,2254.0,Steinmaur
1.5,53.0,2860.0,Zürich
1.0,28.0,2660.0,Zürich
3.0,66.0,1108.0,Bassersdorf
3.5,85.0,1650.0,Wädenswil
2.0,65.0,2745.0,Zürich
4.5,121.0,4510.0,Zürich
5.5,182.0,7500.0,Zollikon
3.5,65.0,3650.0,Dübendorf
4.5,156.0,5360.0,Zollikon
4.5,120.0,4265.0,Zürich
2.5,73.0,3730.0,Zürich
5.5,134.0,5750.0,Zürich
2.5,46.0,1880.0,Regensdorf
4.5,94.0,2072.0,Hombrechtikon
4.5,102.0,2400.0,Benglen
2.5,54.0,1800.0,Zwillikon
3.5,78.0,1530.0,Langwiesen
3.5,140.0,5400.0,Zollikon
1.5,28.0,2660.0,Zürich
3.5,74.0,2354.0,Adliswil
4.5,174.0,7260.0,Zürich
4.5,120.0,3480.0,Wettswil
3.5,130.0,2720.0,Neerach
2.5,60.0,3710.0,Zürich
2.5,55.0,3710.0,Zürich
2.5,71.0,4055.0,Zürich
3.5,79.0,4080.0,Zürich
2.5,55.0,3610.0,Zürich
2.5,55.0,2350.0,Winterthur
2.5,50.0,3710.0,Zürich
1.5,36.0,2990.0,Zürich
4.5,140.0,8990.0,Zürich
1.0,17.0,990.0,Winterthur
2.5,47.0,2220.0,Horgen
4.5,145.0,4330.0,Zürich
1.0,26.0,1500.0,Wettswil
2.5,75.0,3290.0,Zürich
3.5,140.0,2175.0,Bäretswil
3.5,100.0,3420.0,Zürich
4.5,107.0,2480.0,Bülach
2.5,70.0,2560.0,Zürich
1.0,17.0,650.0,Zürich
4.5,115.0,2847.0,Tagelswangen
4.5,100.0,4800.0,Zürich
2.5,75.0,1850.0,Hinwil
3.5,65.0,3480.0,Zürich
4.5,151.0,4900.0,Zürich
4.5,170.0,7400.0,Zürich
3.5,104.0,2854.0,Dietikon
2.5,65.0,7900.0,Zürich
4.5,89.0,3490.0,Zürich
4.5,108.0,2695.0,Oberengstringen
3.5,78.0,2970.0,Zürich
3.5,78.0,2780.0,Zürich
4.5,176.0,2990.0,Winterthur
4.5,128.0,7400.0,Zürich
3.5,69.0,3750.0,Zürich
4.5,139.0,4900.0,Fällanden
1.5,32.0,1550.0,Bülach
4.0,110.0,5065.0,Zürich
1.5,42.0,1980.0,Zürich
5.0,123.0,4100.0,Wallisellen
4.5,118.0,2900.0,Lufingen
3.0,60.0,1980.0,Regensdorf
4.5,101.0,2800.0,Regensdorf
4.5,111.0,3020.0,Zollikerberg
2.5,75.0,2480.0,Wallisellen
3.5,100.0,2500.0,Dübendorf
2.5,53.0,3350.0,Zürich
4.5,138.0,3690.0,Dielsdorf
2.5,66.0,2069.0,Brütten
2.5,81.0,1874.0,Männedorf
7.5,176.0,4005.0,Urdorf
2.5,45.0,3610.0,Zürich
3.5,80.0,5080.0,Zürich
1.5,30.0,2490.0,Zürich
3.5,70.0,3980.0,Zürich
2.5,40.0,3410.0,Zürich
2.5,56.0,1645.0,Dietlikon
1.0,32.0,1114.0,Elsau
2.5,75.0,3550.0,Zürich
3.0,65.0,3160.0,Zürich
3.5,78.0,3250.0,Wallisellen
3.5,81.0,3950.0,Zürich
3.5,67.0,2950.0,Zürich
4.5,115.0,3860.0,Opfikon
3.5,86.0,4480.0,Zürich
4.5,118.0,2295.0,Winterthur
4.5,115.0,2150.0,Schöfflisdorf
2.5,66.0,2480.0,Zürich
3.5,86.0,3290.0,Zürich
3.0,81.0,2430.0,Zürich
2.5,54.0,2615.0,Zürich
4.5,124.0,2800.0,Knonau
1.5,39.0,1995.0,Zürich
3.0,70.0,1790.0,Effretikon
5.5,260.0,4500.0,Stäfa
4.5,131.0,4350.0,Zürich
2.5,84.0,2875.0,Zürich
6.0,300.0,7050.0,Zürich
4.5,115.0,3653.0,Forch
4.5,102.0,4098.0,Zürich
3.0,100.0,3950.0,Zürich
3.5,90.0,2160.0,Glattfelden
3.5,113.0,5550.0,Zürich
4.0,153.0,4100.0,Dübendorf
2.5,70.0,3120.0,Wallisellen
6.5,240.0,14700.0,Zürich
3.5,101.0,1964.0,Elgg
3.0,100.0,4185.0,Zürich
3.5,115.0,5600.0,Zürich
2.5,47.0,1500.0,Winterthur
3.5,122.0,2160.0,Fehraltorf
3.5,90.0,3230.0,Thalwil
3.5,98.0,2550.0,Eglisau
4.5,109.0,3242.0,Zürich
3.5,102.0,2410.0,Brütten
2.5,75.0,2480.0,Wallisellen
5.5,147.0,3956.0,Meilen
3.5,70.0,2082.0,Adliswil
1.5,22.0,1500.0,Wädenswil
3.5,90.0,3480.0,Zollikerberg
2.0,48.0,1410.0,Winterthur
1.0,16.0,900.0,Bassersdorf
2.5,53.0,2270.0,Schlieren
1.0,27.0,935.0,Winterthur
3.5,85.0,1650.0,Zweidlen
3.5,98.0,3250.0,Winterthur
3.5,76.0,3445.0,Zürich
3.5,84.0,2023.0,Eglisau
3.0,63.0,1542.0,Winterthur
1.0,34.0,1690.0,Zürich
5.0,101.0,4325.0,Zürich
3.5,79.0,1941.0,Winterthur
4.0,94.0,4900.0,Zürich
3.5,80.0,2110.0,Wallisellen
3.5,114.0,5565.0,Zürich
4.5,125.0,2810.0,Winterthur
1.5,33.0,3010.0,Zürich
4.5,83.0,2560.0,Regensdorf
3.5,126.0,6575.0,Zürich
2.5,75.0,2420.0,Unterengstringen
3.0,87.0,2474.0,Effretikon
3.5,80.0,2313.0,Dietikon
3.5,90.0,2610.0,Wettswil
2.5,45.0,3500.0,Zürich
2.0,55.0,2920.0,Zürich
4.5,172.0,3670.0,Urdorf
5.5,132.0,5670.0,Zürich
1.5,33.0,2660.0,Zürich
4.5,137.0,16875.0,Zürich
1.5,30.0,3890.0,Zürich
6.5,210.0,10300.0,Horgen
4.5,107.0,2680.0,Bülach
1.5,40.0,2443.0,Zürich
2.5,63.0,3150.0,Geroldswil
2.5,55.0,2850.0,Geroldswil
3.5,75.0,3850.0,Geroldswil
1.5,30.0,2550.0,Zürich
2.5,68.0,2110.0,Zürich
3.0,56.0,1525.0,Winterthur
3.5,100.0,2036.0,Kloten
3.5,88.0,2140.0,Zweidlen
5.5,152.0,5000.0,Zürich
4.5,102.0,4540.0,Zürich
5.5,112.0,2650.0,Watt
5.0,147.0,5460.0,Zürich
3.5,74.0,2390.0,Zürich
2.5,50.0,3100.0,Zürich
2.5,72.0,1800.0,Volketswil
3.0,100.0,3750.0,Zürich
3.5,110.0,3520.0,Kloten
2.5,87.0,3693.0,Zürich
3.5,70.0,1980.0,Zollikon
3.5,70.0,1980.0,Zollikon
2.0,48.0,1410.0,Winterthur
3.0,61.0,1690.0,Dübendorf
4.0,70.0,1640.0,Winterthur
6.5,168.0,3160.0,Pfungen
1.5,26.0,1600.0,Glattbrugg
4.5,105.0,2900.0,Meilen
2.0,257.0,1690.0,Fehraltorf
2.5,54.0,1845.0,Winterthur
4.5,130.0,4300.0,Geroldswil
3.5,156.0,2970.0,Wädenswil
3.0,80.0,3000.0,Zürich
2.5,77.0,1730.0,Schwerzenbach
4.5,94.0,3010.0,Zürich
2.5,41.0,2810.0,Zürich
1.0,36.0,1610.0,Zürich
4.5,98.0,3800.0,Zürich
4.5,99.0,1710.0,Langwiesen
3.5,90.0,1490.0,Langwiesen
4.0,76.0,1840.0,Bassersdorf
3.5,76.0,2150.0,Weisslingen
3.5,90.0,2240.0,Zweidlen
3.5,103.0,3700.0,Zürich
2.5,75.0,3740.0,Zürich
3.5,79.0,2400.0,Unterengstringen
3.5,87.0,2770.0,Zürich
3.5,82.0,2705.0,Zürich
3.0,80.0,3313.0,Zürich
3.0,100.0,3935.0,Zürich
3.5,60.0,3000.0,Zürich
1.0,45.0,2300.0,Zürich
1.0,29.0,2150.0,Zürich
3.5,124.0,6550.0,Zürich
1.0,45.0,2300.0,Zürich
3.5,112.0,6350.0,Zürich
1.0,36.0,2150.0,Zürich
1.0,35.0,2250.0,Zürich
2.5,63.0,2850.0,Zürich
3.5,60.0,3000.0,Zürich
2.5,70.0,3100.0,Zürich
1.0,34.0,2200.0,Zürich
1.0,29.0,2150.0,Zürich
1.0,36.0,2150.0,Zürich
2.5,59.0,2850.0,Zürich
1.0,29.0,2150.0,Zürich
1.0,34.0,2200.0,Zürich
1.0,36.0,2150.0,Zürich
1.0,35.0,2250.0,Zürich
2.5,70.0,3100.0,Zürich
1.0,34.0,2200.0,Zürich
2.5,59.0,2850.0,Zürich
3.5,80.0,5080.0,Zürich
6.5,200.0,8339.0,Zürich
2.5,60.0,2460.0,Zürich
2.5,99.0,2300.0,Andelfingen
3.5,70.0,1814.0,Dübendorf
2.0,40.0,1557.0,Dietikon
1.0,41.0,2300.0,Zürich
1.0,41.0,2300.0,Zürich
1.0,34.0,2200.0,Zürich
1.0,29.0,2150.0,Zürich
3.5,60.0,3000.0,Zürich
1.0,36.0,2150.0,Zürich
1.0,34.0,2200.0,Zürich
2.5,70.0,3100.0,Zürich
1.0,34.0,2200.0,Zürich
2.5,59.0,2850.0,Zürich
2.5,59.0,2850.0,Zürich
2.5,70.0,3100.0,Zürich
3.5,60.0,3000.0,Zürich
1.0,34.0,2200.0,Zürich
1.0,35.0,2250.0,Zürich
1.0,35.0,2250.0,Zürich
1.0,34.0,2200.0,Zürich
2.5,68.0,2950.0,Zürich
3.0,45.0,2560.0,Regensdorf
2.0,43.0,1800.0,Regensdorf
2.0,48.0,1410.0,Winterthur
3.5,101.0,3950.0,Oberrieden
2.0,65.0,1400.0,Winterthur
4.5,94.0,1950.0,Dielsdorf
4.5,120.0,4350.0,Zürich
3.5,93.0,4063.0,Zürich
5.5,130.0,3290.0,Kloten
3.5,83.0,2250.0,Bülach
2.5,90.0,2995.0,Zürich
3.5,73.0,1755.0,Schlieren
2.0,45.0,975.0,Flurlingen
2.5,54.0,1440.0,Winterthur
4.5,99.0,2030.0,Volketswil
